allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,2,2,1,1,1,3,1,3,4,6,2,7,1,4,1,2,1,1,2
1,1,3,1,1,2,10,1,2,1,2,3,5,2,2,2,2,2,0,3
2,3,1,1,1,2,3,0,1,3,2,3,10,3,1,3,1,2,2,3
3,2,1,2,1,1,2,3,3,3,3,2,5,2,2,1,3,4,3,2
4,3,1,2,2,1,3,3,0,3,3,2,4,2,2,4,1,1,3,5
5,2,3,3,2,2,2,2,2,3,2,2,3,3,3,2,2,2,3,2
6,2,3,2,2,2,3,3,2,2,3,2,2,2,3,3,2,3,2,2
7,2,3,2,2,2,1,3,2,2,3,2,2,3,3,3,2,3,3,2
8,2,3,3,2,3,3,2,2,3,2,3,2,1,2,3,2,3,2,2
9,3,1,2,1,1,3,3,1,2,5,3,8,1,0,4,2,2,2,1
10,2,2,2,3,2,3,2,2,3,3,2,2,3,2,2,3,3,2,2
11,2,3,2,2,3,2,2,2,3,2,3,2,3,2,3,2,2,3,2
12,2,3,3,3,2,2,2,3,2,2,2,2,2,2,3,3,2,3,2
13,1,1,2,2,3,2,3,2,2,2,2,3,3,3,4,2,2,4,2
14,3,2,2,3,1,2,2,2,2,2,3,2,3,2,3,3,2,3,3
15,1,2,3,3,2,2,2,1,2,3,2,3,4,2,2,3,3,3,2
16,3,3,2,3,3,3,2,3,2,3,3,2,3,2,1,2,2,2,1
17,2,2,2,3,3,2,2,2,2,3,2,2,2,3,3,3,2,3,2
