ambulance_id,seconds_worked
0,7677
1,18133
2,8361
3,12528
4,10945
5,19158
6,8237
7,0
8,8789
9,15245
10,17190
11,18795
12,5260
13,11277
14,0
15,15988
16,14320
17,13071
18,12102
19,11384
20,14628
21,6559
22,6963
23,10399
24,11008
25,22027
26,22039
27,23957
28,22078
29,22279
30,19849
31,23872
32,20051
33,16173
34,10788
35,35702
36,34505
37,21283
38,24297
39,12380
40,24690
41,14585
42,16620
43,12728
44,16476
45,18912
46,19067
47,12947
48,8670
49,9311
50,22894
51,16482
52,25241
53,10822
54,14413
55,16043
56,19465
57,18838
58,19499
